20200208,浦东,川沙,房屋格局好，户型方正，满两年，唯必看好房,208万,2室1厅 | 59.89平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/500dfff3-2462-4954-9fdc-691a1223f9ec_1000.jpg.296x216.jpg
20200208,浦东,川沙,施湾机场旁 交通便利 刚需两房 诚意出售 看房方便,195万,2室1厅 | 75.39平米 | 南 | 毛坯 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TFuJZmQyL_1.jpg.296x216.jpg
20200208,浦东,川沙,两房朝南经典户型，带院子，低楼层、爬楼不累,225万,2室1厅 | 66.59平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tWbrKvxiF_1.jpg.296x216.jpg
20200208,浦东,川沙,思凡花苑二街坊房东自住精装修2室带阁楼。,165万,2室2厅 | 74.59平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/cefd32b9-a160-47c2-86d4-bb7a6d208348_1000.jpg.296x216.jpg
20200208,浦东,川沙,新小区优质两房，小区中部位置采光无忧、视野好。,215万,2室1厅 | 83.38平米 | 南 | 毛坯 | 中楼层(共6层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Epym8dj1E_1.jpg.296x216.jpg
20200208,浦东,川沙,10年电梯商品房，总价低，满五唯一，精装自住，,215万,2室1厅 | 66.19平米 | 南 | 精装 | 中楼层(共13层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_rHYaNDaBC_1.jpg.296x216.jpg
20200208,浦东,川沙,浦东机场附 近的小户型，总价低，户型正气。,150万,1室1厅 | 56.36平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,https://image1.ljcdn.com/310000-inspection/pc1_UDXe2GRyw_1.jpg.296x216.jpg
20200208,浦东,川沙,一手动迁，六楼带大阁楼，随时可看,199万,2室1厅 | 76.5平米 | 南 | 简装 | 高楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/e61b2470-07a6-44d4-a328-6115c2c63202_1000.jpg.296x216.jpg
20200208,浦东,川沙,底楼房子适合老人居住，总价低，配套完善，出行便捷,140万,1室1厅 | 49.05平米 | 南 | 毛坯 | 低楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_KlTiMlTbH_1.jpg.296x216.jpg
20200208,浦东,川沙,09年小区，近浦东机场精致一房，拎包入住。,138万,1室1厅 | 50.47平米 | 南 | 精装 | 高楼层(共5层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/aa0bcc79-0a5d-4052-b594-1290a2c76e7a_1000.jpg.296x216.jpg
20200208,浦东,川沙,满五唯一 采光好 通风好 看房方便,260万,2室1厅 | 73.34平米 | 南 | 简装 | 高楼层(共5层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_tXHlY9Bku_1.jpg.296x216.jpg
20200208,浦东,川沙,此房地理位置好，房型很正，税费少，诚意出售房主自荐,176万,2室2厅 | 74.9平米 | 南 | 其他 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_4ofU5FNgv_1.jpg.296x216.jpg
20200208,浦东,川沙,新川苑，诚心出售，有钥匙，配套成熟，交通方便,340万,2室2厅 | 99.83平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b7ffb66e-0dd0-40d6-87de-9677f679e635.jpg.296x216.jpg
20200208,浦东,川沙,满五年唯一，华夏东路站地铁口 商品房 中间位置,450万,3室2厅 | 127.06平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fe6e1e94-3008-4fbd-adf2-ac3c033c8d4e.png.296x216.jpg
20200208,浦东,川沙,精装三房 配套完善 一手动迁  置换诚意出售房主自荐,470万,3室2厅 | 118.89平米 | 南 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-82fee277-f717-4cf7-9306-e9c10f454162.png.296x216.jpg
20200208,浦东,川沙,满五唯一税费少，业主自住精装修，双南户型,228万,2室1厅 | 68.81平米 | 南 | 精装 | 高楼层(共5层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_3qHa75J82_1.jpg.296x216.jpg
20200208,浦东,川沙,南北户型，采光充足，视野开阔，房型正气，环境好,169万,1室1厅 | 58.63平米 | 南 | 简装 | 高楼层(共6层) | 2008年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_TUMq2bLRB_1.jpg.296x216.jpg
20200208,浦东,川沙,此房满五唯一，楼层好，视野宽阔，交通便利，诚意出售,400万,3室1厅 | 110.32平米 | 南 北 | 毛坯 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_uLZITpuni_1.jpg.296x216.jpg
20200208,浦东,川沙,2014年竣工的次新房，毛坯6楼带阁楼，小区靶心位置,277万,3室2厅 | 111.55平米 | 南 | 毛坯 | 高楼层(共6层) | 2014年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_1meWydnLq_1.jpg.296x216.jpg
20200208,浦东,川沙,楼层好，视野开阔，采光充足，前后无遮挡生活配套齐,263万,1室1厅 | 65.42平米 | 南 | 简装 | 低楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-b4ad6023-bccb-46cf-9039-42f109674349.jpg.296x216.jpg
20200208,浦东,川沙,晨阳小区两房 总价低169万 出门公交 菜场 交通便利,167万,2室1厅 | 76.23平米 | 西南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f18b4acb-04ff-47a6-993e-837e28a932f5.jpg.296x216.jpg
20200208,浦东,川沙,商品房，总价低，楼层好 带产权车位,275万,3室1厅 | 116平米 | 南 | 精装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-01274e92-c7bd-486d-b48c-f852c8dafdce.png.296x216.jpg
20200208,浦东,川沙,河滨小区，3房精装修，房东诚心出售，看房方便。,263万,3室1厅 | 80.9平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f655060d-11f5-46b8-aaa0-a347a5eacda8.jpg.296x216.jpg
20200208,浦东,川沙,川沙新德三村2房朝南精装修，满五年只有这一套，漂亮,212万,2室1厅 | 60.64平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-3293b009-07b2-41d2-abe6-20241dc8bde3.jpg.296x216.jpg
20200208,浦东,川沙,钥匙房随时可看好楼层 房东诚心出售,250万,2室1厅 | 73.34平米 | 南 | 精装 | 中楼层(共5层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-a29558ca-ae75-467c-ac13-f2d835f0af42.jpg.296x216.jpg
20200208,浦东,川沙,航城园，99年商品房，楼层低，面积大,265万,3室1厅 | 114.69平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_m64RNKdBM_1.jpg.296x216.jpg
20200208,浦东,川沙,施湾简装三房总价低，带阁楼户型正， 满五唯一.,215万,3室1厅 | 98.46平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_LqQe7RPuU_1.jpg.296x216.jpg
20200208,浦东,川沙,绿海家园，135平大三房，双南户型，中间楼层房主自荐,480万,3室2厅 | 135.8平米 | 南 北 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/f8cf6cbf-4d4a-4e84-8f98-eead9fff0739_1000.jpg.296x216.jpg
20200208,浦东,川沙,自住装修，满五唯一，位置佳，楼层好。,428万,3室2厅 | 128.5平米 | 南 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_YDKouDsfW_1.jpg.296x216.jpg
20200208,浦东,川沙,满五不唯一 交通和购物便利 双南户型 双天井,262万,2室1厅 | 65.79平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_8orJRLdWa_1.jpg.296x216.jpg
20200208,浦东,川沙,婚房装修 品质小区 三房两卫 房东诚售,418万,3室2厅 | 111.33平米 | 南 北 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_zPLiiSVz0_1.jpg.296x216.jpg
20200208,浦东,川沙,高区大三房，精装修，中间位置，户型方正,390万,3室2厅 | 120.46平米 | 南 | 精装 | 高楼层(共13层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-0a6e50d4-cde8-4083-ae54-298c0ff92365.png.296x216.jpg
20200208,浦东,川沙,地铁口2000年商品房 满五唯一，户型好，交通便利,405万,3室2厅 | 116.83平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-f292b745-fa16-491f-962f-748e278e7a00.jpg.296x216.jpg
20200208,浦东,川沙,天和湖滨三房，毛坯房可随意装修，高层景观房！,350万,3室2厅 | 111.9平米 | 南 | 毛坯 | 中楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-9268afae-5c35-4290-b52b-cdf93e93badd.jpg.296x216.jpg
20200208,浦东,川沙,同济东时区近浦东机场 住宅精装三房直接拎包入住。,300万,3室2厅 | 88平米 | 南 | 精装 | 中楼层(共8层) | 2016年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4d33433f-c937-45aa-af1d-0cae247a644f.jpg.296x216.jpg
20200208,浦东,川沙,青厦小区 2室1厅 263万,263万,2室1厅 | 75.48平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_m65zdxV0c_1.jpg.296x216.jpg
20200208,浦东,川沙,满五唯一，两房朝南，户型方正，,240万,2室1厅 | 67.56平米 | 南 | 简装 | 低楼层(共6层) | 1993年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-77e1ce23-a5e1-4af5-b063-6e8a5389bf8a.jpg.296x216.jpg
20200208,浦东,川沙,东绣苑大三房+自住精装修+满二+户型正气+临河安静,395万,3室1厅 | 111.22平米 | 南 | 精装 | 低楼层(共14层) | 2012年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-c4a179e2-46ed-4fb1-a1a5-15f6b919ac29.png.296x216.jpg
20200208,浦东,川沙,距离地铁站4号口50米不到 单价低总价低,273万,2室2厅 | 91.95平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-d45f72f2-9ef4-42a6-ba72-5cea3601ffa0.png.296x216.jpg
20200208,浦东,川沙,鼎鑫名流苑，三房，小区中间位置诚心出售,580万,4室2厅 | 134.29平米 | 南 | 简装 | 中楼层(共12层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_Ao0mcUCpX_1.jpg.296x216.jpg
20200208,浦东,川沙,满五年，客厅南北通，中间楼层，前后无遮挡，视野开阔,570万,3室2厅 | 133.69平米 | 南 北 | 精装 | 中楼层(共12层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-fd25949b-6393-4610-84ba-257826a6e9a0.jpg.296x216.jpg
20200208,浦东,川沙,阳光城愉景湾刚满两年，楼层好采光棒，小区环境佳房主自荐,455万,3室1厅 | 91平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,https://image1.ljcdn.com/310000-inspection/pc1_G30IxY328_1.jpg.296x216.jpg
20200208,浦东,川沙,小区中间位子，中楼层  房东诚心卖，商品房,448万,3室2厅 | 128.62平米 | 南 | 简装 | 中楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-274a476a-04c6-4ee4-8386-2fe193ca5184.jpg.296x216.jpg
20200208,浦东,川沙,金顺佳苑 两房婚房装修 中等楼层 位置好 税费少,205万,2室1厅 | 77.6平米 | 南 | 精装 | 低楼层(共6层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-16635a6a-eb0a-49a6-8165-9ba000f34859.jpg.296x216.jpg
20200208,浦东,川沙,中间层，前排无遮挡，居家装修，家的味道,305万,2室2厅 | 94.16平米 | 南 | 精装 | 低楼层(共14层) | 2010年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-16b6886e-7f28-4e0f-aa3a-4177e54c028b.jpg.296x216.jpg
20200208,浦东,川沙,川沙地铁站旁 小户型 房间朝南带阳台,150万,1室1厅 | 35平米 | 南 北 | 简装 | 中楼层(共5层) | 1982年建 | 板楼,https://image1.ljcdn.com/310000-inspection/test-123c5922-4952-4924-833d-b0a3414c1c82.png.296x216.jpg
20200208,浦东,川沙,航城园 99年商品房 一楼出入方便 房东诚心出售,177万,2室2厅 | 81.84平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/af857bb8-001a-48c2-8679-18a25f44e4d1_1000.jpg.296x216.jpg
20200208,浦东,川沙,09年品质小区 刚需一房 满五唯一税费少 诚售价格可谈,255万,1室1厅 | 65.42平米 | 南 | 简装 | 中楼层(共11层) | 2009年建 | 板楼,https://image1.ljcdn.com/310000-inspection/b2dc909b-4c53-4adb-8d9c-7560c043659c_1000.jpg.296x216.jpg
20200208,浦东,川沙,王桥苑，生活配套全覆盖，南北通户型好，中间楼层,340万,2室2厅 | 93.84平米 | 南 | 简装 | 中楼层(共6层) | 2000年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-4caf2139-f656-4949-89df-95318ac1905a.jpg.296x216.jpg
20200208,浦东,川沙,采光好，交通便利，配套设施齐全，诚意出售,300万,2室2厅 | 90.96平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-591fabb3-a991-4b79-81d3-3f7677504cb1.jpg.296x216.jpg
20200208,浦东,川沙,精装修自住，高楼层采光好，居家入住。,298万,2室2厅 | 94.47平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,https://image1.ljcdn.com/310000-inspection/prod-c4cd8779-1361-4d4c-8f1d-70248672c7d4.jpg.296x216.jpg
